Technical name,Name,Original performer,monthEstablished,yearEstablished,linkToVideo,Start position,End position,Difficulty,description,descriptionEs,tips,tipsEs,recommendedPrerequisites,dateAdded,isImportant,isVariationOf
Cordova Roll,,Ian Eisenberg,,2020,https://youtu.be/Ab2gW1rv5e8?t=58,ROCKET,ROCKET,5,Start like a Reverse Rocket Mount and go into a Double Drop Knee position but then fully extend your hips while keeping the line at your ankles behind your back. Roll around the line and end up back in Rocket.,"Sube por detrás de la línea en posición de Doble Rodilla Caída, pero luego extiende completamente la parte superior del cuerpo y la parte superior de las piernas mientras mantienes la línea en tus tobillos por detrás de tu espalda. Rueda alrededor de la línea y termina de nuevo en Colgado.",,,,1 Jan 2022,FALSE,
Rocket 360 to Rocket,Full Rocket,Ian Eisenberg,,2021,https://youtu.be/aYsX0kpCnAg?t=23,ROCKET,ROCKET,5,From Rocket do a 360 around the horizontal axis perpendicular to the line and land again in Rocket.,Desde Rocket haz un 360 alrededor de un eje perpendicular a la línea y aterriza de nuevo en Rocket.,,,,1 Jan 2022,FALSE,
Rocket Roll 180 to Sofa,Rocket Rewind,Ian Eisenberg,,2021,https://youtu.be/aYsX0kpCnAg?t=6,ROCKET,SOFA,5,Start by doing a Rocket Mount but then go into a Belly Roll finishing with a 180 to Sofa.,Comienza haciendo un Rocket Mount pero luego pasa a un Belly Roll terminando con un 180 a Sofa.,Get a lot of momentum for the Rocket Roll and in the end do a 180 and stick your butt out as in the Sofa Roll 360.,Coge mucho impulso para el Rocket Roll y al final haz un 180 y saca el culo como en el Sofa Roll 360.,,1 Jan 2022,TRUE,
Soup Roll to Feet,Can of Soup,Justin Wagers,,2019,https://youtu.be/xqblad7pNLA?t=300,SOUP,STAND,4,"From Soup, you grab one hand in front and one behind, you roll to the side of the leg on the line, put the second foot up, and pull yourself up to land to Feet in normal stance.",Desde la sentada a una pierna se rueda hacia un lado en la dirección de la pierna que está en la línea y se aterriza a los pies en posición normal.,,,,1 Jan 2022,TRUE,
Sick Nasty Roll,,Samuel Volery,,2019,https://youtu.be/uOuqykzwN7w?t=65,SOFA,SOFA,4,Sick Nasty with an additional Back Sofa Roll in the same bounce.,Sick Nasty con un rollo de sofá adicional en el mismo rebote.,Regrab with the far hand to get into the Back Sofa Roll.,Regrabación con la mano más lejana para entrar en el rollo del sofá trasero.,10044;10071,1 Jan 2022,TRUE,
Sofa 360 to Feet,Baguette,Tlaloc Moctezuma-Burns,,2020,https://youtu.be/hsALSrUdryU?t=49,SOFA,EXPOSURE,5,"From Sofa you do a 360, put the outter foot on the line first and then put the second foot on to land in Exposure.",Desde Sofá haces un 360 y luego aterrizas en Exposición,,,10222,1 Jan 2022,TRUE,
Chest Roll to Feet,,,,,https://www.youtube.com/watch?v=qUxUNfgvoPs&t=35,CHEST,STAND,4,Do a Chest Roll and in the end of the roll push yourself away from the line to put your front foot on.,Haz un rollo de pecho y al final del rollo empújate de la línea para poner los pies.,,,,1 Jan 2022,TRUE,
Fake Sick Nasty Roll,,,,,https://youtu.be/hsALSrUdryU?t=153,KOREAN,SOFA,4,Sick Nasty Roll but starting from Korean.,Sick Nasty Roll pero empezando por el coreano.,,,10044,1 Jan 2022,FALSE,10068
Sick Nasty to Feet,Flare to Feet,,,,https://youtu.be/Ej2ocABoNC4?t=18159,SOFA,EXPOSURE,4,From Sofa you grab the line next to you with both hands and swing the legs over the line and around behind you and then you land in Exposure on the other side of your hands.,Desde el Sofá agarras la línea que está a tu lado con las dos manos y balanceas las piernas sobre la línea y por detrás de ti y luego aterrizas en Exposición al otro lado de tus manos.,,,10044,1 Jan 2022,TRUE,
Obi Wan,,,,,,ROCKET,STAND,5,"Similar to Rocket Mount. Instead of putting both feet between your hands, put one foot outside of your hands, then put the second foot between the hands to land in Exposure.",Es una mezcla entre Rocket Mount y Nevermind.,,Regrabación con la mano más lejana para entrar en el rollo del sofá trasero.,,1 Jan 2022,FALSE,10067
Back Can of Soup,,Ian Eisenberg,,2021,https://youtu.be/IDYpoOE8Kq8?t=32,SOUP,STAND,4,From Soup you roll to the side in the direction of your leg that is hanging down and land to Feet in normal stance.,"Desde la sentada a una pierna, rueda hacia un lado en dirección a la pierna que cuelga y aterriza con los pies en posición normal.",,,,1 Jan 2022,FALSE,10066
Sofa Roll to Feet,,,,,https://youtu.be/rWqH_51ztQA?t=12678,SOFA,EXPOSURE,4,"Do a Sofa Roll and during the roll you lean a bit to the side so you can get one foot on the line, to finish the roll you get the second foot up and stand up.",Haz un Sofa Roll y durante el rollo te inclinas un poco hacia un lado para poder poner un pie en la línea para terminar el rollo subes el segundo pie y te pones de pie.,An easier variation is to already start with one foot on the line when you start the roll.,,10180,1 Jan 2022,TRUE,
Back Sofa Roll to Feet,,,,,,SOFA,EXPOSURE,4,"Do a Back Sofa Roll and during the roll you lean a bit to the side so you can get one foot on the line, to finish the roll you get the second foot up and stand up.",Haz un rollo de sofá hacia atrás y durante el rollo te inclinas un poco hacia el lado para poder poner un pie en la línea para terminar el rollo subes el segundo pie y te pones de pie.,An easier variation is to already start with one foot on the line when you start the roll.,,10180,1 Jan 2022,FALSE,10199
Rocket Nasty,,Ian Eisenberg,,2021,,ROCKET,ROCKET,5,"It's like a Sick Nasty from Rocket to Rocket, but passing the legs over the line to the front.",Sick Nasty de Rocket a Rocket.,,,,1 Jan 2022,FALSE,
Rocket Mount to DDK,,Enzo Fuchs,,,,ROCKET,DOUBLE DROP KNEE,5,Rocket Mount landing in Double Drop Knee.,Aterrizaje con cohete en doble caída de rodilla.,,,,1 Jan 2022,FALSE,10067
Orbital 180,Fake Orbital,,,,,STAND,CHEST,4,Orbital 180 landing in Chest. The 180 makes it easier compared to the normal Orbital. Also called Norbital.,Aterrizaje del Orbital 180 en el pecho. El 180 facilita el aterrizaje.,,También llamado Norbital.,,1 Jan 2022,FALSE,10084
Fireflip to Shoulder,,Samuel Volery,,2022,https://www.instagram.com/p/CYPMq9BJg55/,KOREAN,SHOULDER,5,From Korean grab the line behind you and go into a Front Chest Roll. Land on your shoulder to finish the trick.,Desde el coreano agarra la línea detrás de ti y haz un Front Chest Roll. Aterriza sobre tu hombro para terminar el truco.,,,10209,1 Jan 2022,FALSE,10100
Korean Pop,Sushi,Ian Eisenberg,,2021,https://youtu.be/7yLCyoHgUS0?t=1322,STAND,STAND,4,Korean from Feet and Korean to Feet in one bounce. You have to let the line pop at the beginning.,El elegante pop coreano de Feet to Feet.,Consider buying a cup to protect your genitals (applies to men and women).,,,1 Jan 2022,TRUE,
Nevermind 180,,Sebastian Egger,,2021,https://youtu.be/Ej2ocABoNC4?t=22796,NEVERMIND,EXPOSURE,5,Start as you would for a Nevermind but then use your foot that is in contact with the line to initiate a FS spin and do a 180 before you land in Exposure.,Comienza como lo harías para un Nevermind pero luego utiliza el pie que está en contacto con la línea para iniciar un giro y hacer un 180 antes de aterrizar en la Exposición.,,,10036,1 Jan 2022,FALSE,10036
Richy Roll to Feet,,,,,,KOREAN,EXPOSURE,5,Front Sofa Roll to Feet but starting from Korean so you have to swing one leg over the line first.,"Rollo de sofá frontal a los pies, pero comenzando desde el coreano, por lo que tiene que girar una pierna sobre la línea primero.",,,10199,1 Jan 2022,TRUE,
Back Richy Roll to Feet,,,,,,KOREAN,EXPOSURE,5,Back Sofa Roll to Feet but starting from Korean so you have to swing one leg over the line first.,"Rollo de sofá de espalda a los pies, pero comenzando desde el coreano, por lo que tiene que girar una pierna sobre la línea primero.",,,10200,1 Jan 2022,FALSE,10227
360 Spin,,,,,,STAND,STAND,5,"Do a 360 spin, restepping with your feet twice.",Giro de 360 grados de pie. Es una técnica.,,,,1 Jan 2022,TRUE,
Butter Roll,,,,,,SOFA,SOFA,5,From Butt grab the line with one hand behind your back. With this hand you pull yourself to do a 360 Butt Flatspin and add a Back Sofa Roll in the end.,Desde el Sofá agarra la línea con una mano detrás de tu espalda en el otro lado. Con esta mano te tiras para hacer un 360 y añadir un Back Sofa Roll al final.,,,10053,1 Jan 2022,FALSE,10053
One hand one foot Can of Soup,Pastisroll,Oscar Defoor,Jul,2021,,SOUP,STAND,5,Can of soup with only using the back hand and the front foot hooking the line.,Lata de sopa con sólo usar la mano trasera y el pie delantero enganchando la línea.,,,,,FALSE,10066
Double Drop Knee Roll,,,,,,DOUBLE DROP KNEE,DOUBLE DROP KNEE,4,From Double Drop Knee grab the line with both hands and roll to the front landing back in Double Drop Knee.,,,,,,TRUE,
Feet to Shoulder,Kamikaze,Samuel Volery,,,https://youtu.be/9Ab1JPDJR-I?t=234,STAND,SHOULDER,4,"From Standing, grab the line with your hands, take off your front foot, and use the back foot to push yourself into the Shoulderstand.",De la caída de pie a la parada de hombros.,,,,1 Jan 2022,TRUE,
Panic Roll to Feet,,Anthony Boulay,,,https://www.youtube.com/watch?v=hQaJ54xvfOA,SOFA,EXPOSURE,5,Do a Panic Roll and put your back foot onto the line. When you finished the rotation put the second foot up and stand up.,Rollo de pánico pero aterrizando a los pies.,During the roll get your far foot on the line. At the end of the roll get your second foot up on the line.,"Durante la tirada, pon el pie más lejano en la línea. Al final de la tirada, pon el segundo pie en la línea.",10000,1 Jan 2022,TRUE,
Rocket Mount,,Samuel Volery,,2017,https://youtu.be/zSfwTW4vJas,ROCKET,EXPOSURE,5,"At the bottom of the bounce, kick your legs to the back, immediately afterwards kick them to the front again. Then do a final kick to the back while pulling the line down in front of you, and put your feet on the line.",De la mosca colgante a la exposición.,Get some momentum with your legs in the bottom part of the bounce. As soon as you are weightless pull the line below your feet.; This trick doesn't require as much strength as you would think! It's all about getting enough momentum with your legs.; If you can't hold the bounce in the Rocket position try again with less bounce.,"Coge impulso con las piernas en la parte inferior del rebote. Tan pronto como te encuentres sin peso, tira de la cuerda por debajo de tus pies; Este truco no requiere tanta fuerza como crees. Se trata de conseguir suficiente impulso con las piernas.; Si no puedes mantener el rebote en la posición colgante, inténtalo de nuevo con menos rebote.",,1 Jan 2022,TRUE,
Reverse Rocket Mount to Double Drop Knee,,Domingo Capo,,2021,https://youtu.be/7yLCyoHgUS0?t=1775,ROCKET,DOUBLE DROP KNEE,5,From Hanging do a Reverse Rocket Mount but land in Double Drop Knee.,Desde la horca haz un Reverse Rocket Mount pero aterriza en Double Drop Knee.,,,,1 Jan 2022,FALSE,10121
Double Drop Knee Roll to Feet,,Domingo Capo,,2021,https://youtu.be/7yLCyoHgUS0?t=1767,DOUBLE DROP KNEE,EXPOSURE,5,From Double Drop Knee do a Double Drop Knee Roll and stand up to land in Exposure.,Desde la Doble Caída de Rodilla haz un giro y levántate para aterrizar en la Exposición.,,,,1 Jan 2022,FALSE,10281
Hammock Back Roll,,Guillaume Fontaine,,2017,https://youtu.be/Ej2ocABoNC4?t=22785,BACK,KOREAN,5,Do a Hammock Roll and finish with a Back Roll in the same bounce.,Haz un Hammock Roll y termina con un Back Roll en el mismo rebote.,,,10047,1 Jan 2022,TRUE,
Half Back Roll to Shoulder Roll,,Guillaume Fontaine,,2017,https://www.youtube.com/watch?v=O_E_2cB0Pcw&t=61,BACK,SHOULDER,5,Do a Half Back Roll but add a Shoulder Roll to finish the trick.,Haz un Medio Rollo de Espalda pero añade un Rollo de Hombros para terminar el truco.,,,10051;10037,1 Jan 2022,FALSE,10051
Front Roll from Feet,Frontflop,Guillaume Fontaine,,2017,https://youtu.be/n2z3IyeQSj4?t=41,STAND,KOREAN,5,"From Standing grab the line as in a Kamikaze, but then roll over your back and land in Korean.",Desde la posición de pie haz una voltereta frontal a través de la línea y aterriza en coreano.,Thread your arm through the leash so it is not wrapped around your shoulder.,Pase su brazo por la correa para que no se enrolle alrededor de su hombro.,,1 Jan 2022,TRUE,
Chest Roll BS 360 Flatspin,,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=n2z3IyeQSj4&t=25,CHEST,CHEST,5,Do a Chest Roll followed by a BS 360 Chest Flatspin.,Haz un Chest Roll y en el mismo rebote un 360 Chest Flatspin.,,,,1 Jan 2022,FALSE,10007
Half Nasty 180 Front Sofa Roll,Mini-Cube,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=7yLCyoHgUS0&t=1142,SOFA,SOFA,5,Do a Half Nasty 180 with an additional Front Sofa Roll. The motions happen at the same time rather than one after each other.,Haz un Half Nasty 180 con un Front Sofa Roll adicional. Los movimientos se realizan al mismo tiempo en lugar de uno tras otro.,,,10213,1 Jan 2022,TRUE,
Rocket 180 Roll to Sofa Roll,Rocket Rewind Roll,Ian Eisenberg,,2021,https://youtu.be/n2z3IyeQSj4?t=47,ROCKET,SOFA,6,Rocket Rewind with an additional Back Sofa Roll in the end.,Rocket Rewind con un rollo de sofá trasero adicional al final.,,,10063,1 Jan 2022,FALSE,10063
Backbounce Panic Roll to Feet,,Lukas Irmler,,2018,https://youtu.be/Se5XNo0RSP8?t=437,BACK,EXPOSURE,6,From Backbounce go into the Panic Roll to Feet.,"Desde el Backbounce, entra en el Panic Roll to Feet.",,,10050,1 Jan 2022,TRUE,
Back Roll from Feet,Dibahia Roll (Backflop),Matheus Stoco Vidal,,,https://youtu.be/Ej2ocABoNC4?t=18150,STAND,KOREAN,5,From standing you jump straight backwards and roll over your shoulder to land in Korean.,Desde la posición de pie se salta hacia atrás y se rueda por encima del hombro para aterrizar en coreano.,"Have the leash on the same side as the shoulder you roll over; it's a bit easier if you don't jump backwards, but instead roll over your back.",Tenga la correa en el mismo lado que el hombro sobre el que rueda.,10047,1 Jan 2022,TRUE,
Rocket Mount to Shoulder,,Samuel Volery,,2017,https://youtu.be/Se5XNo0RSP8?t=527,ROCKET,SHOULDER,6,From Rocket go up to shoulder stand.,Desde Hanging sube a la posición de los hombros.,When dropping down to Rocket already grab with the hands as you would for the Shoulderstand then you don't have to regrab.,Cuando bajes a Rocket ya agarra con las manos como lo harías para el Shoulderstand entonces no tienes que volver a agarrar.,,1 Jan 2022,FALSE,10067
Rocket Backflip,,Sebastian Egger,,2021,https://youtu.be/9Ab1JPDJR-I?t=168,ROCKET,ROCKET,6,"In Rocket do a backflip, completely letting go of the line and landing back in Rocket.","En Rocket haz un backflip, soltando completamente la línea y aterrizando de nuevo en Rocket.",,,,1 Jan 2022,FALSE,
Side Roll over Neck,Sarah Roll,Tlaloc Moctezuma-Burns,,2020,https://youtu.be/Se5XNo0RSP8?t=563,SOFA,SOFA,5,Sit in Sofa and roll to the side over your neck back to Sofa.,Siéntese en el Sofá y ruede hacia un lado sobre su cuello de vuelta al Sofá.,There are more comfortable tricks to try.,Hay trucos más cómodos para probar.,,1 Jan 2022,FALSE,10282
Back Chest Roll to Feet,,,,,https://www.instagram.com/p/CUITT4wgvmH/,CHEST,STAND,4,Do a Back Chest Roll and in the end of the roll push yourself away from the line to put your front foot on.,Haz un rollo de pecho hacia atrás y al final del rollo empújate de la línea para poner los pies.,,,,1 Jan 2022,FALSE,10070
Full Flare from Korean,Nasty Korean,Sebastian Egger,,2021,,KOREAN,KOREAN,6,Full Flare (see breakdancing) from Korean to Korean.,Es como el movimiento de breakdance que empieza en coreano y vuelve a aterrizar en coreano.,,,,1 Jan 2022,FALSE,10279
Yisus Mount,,Leonardo Ferrari,,2021,https://www.instagram.com/p/CXeLk4Qldu_/,YISUS,EXPOSURE,5,Hanging on the line grabbing it with both hands and having it run under your elbows and shoulders press yourself up to Exposure.,Colgarse de la línea agarrándola con las dos manos y hacerla pasar por debajo de los codos y los hombros para presionarse hasta Exponerse.,Watch out for your shoulders on this one!,¡Cuidado con los hombros en este caso!,,1 Jan 2022,TRUE,
Orbital to Sofa,,Ian Eisenberg,,2021,,STAND,SOFA,5,"Like an Orbital but instead of throwing your leg over the line, put the line under your butt to# land in Sofa.",Como un Orbital pero en vez de lanzar la pierna sobre la línea aterrizas en Sofá.,,,10084,1 Jan 2022,FALSE,10084
Shaolin,,Ian Eisenberg,,2021,,ROCKET,ROCKET,5,Like a Rocket Mount to Sofa but instead of landing in Sofa you pop both legs through your arms and then drop back to Rocket.,"Piensa como si quisieras hacer un montaje de Cohete a Sofá, pero en lugar de aterrizar en Sofá, pasas ambas piernas por los brazos y luego caes de nuevo a Cohete.",,,,1 Jan 2022,FALSE,
Reverse Panic Roll to Feet,,,,,,KOREAN,EXPOSURE,6,From Korean you do a 270 BS spin to the front and then go into a Front Sofa Roll to Feet.,Desde el coreano haz un giro de 270 hacia atrás junto con un giro hacia atrás terminando en Exposición.,,,10213,1 Jan 2022,FALSE,10050
Reverse Flowflip to Feet,Wolf Flip to Feet,Ian Eisenberg,Jul,2022,https://www.instagram.com/p/CfrFKq2tP0m/,KOREAN,STAND,6,Reverse Flowflip to Feet.,Desde el coreano haz un giro de 360º hacia atrás junto con un giro hacia atrás terminando en Pies.,,,10215,1 Jan 2022,FALSE,10102
Shrimpflip 180 to Belly,,,,,,ROCKET,BELLY,5,From Rocket thread your legs in between your arms and the line and let go with one hand to start the 180. Land in Belly.,Desde Rocket enhebra las piernas entre los brazos y la línea y suéltalas con una mano para iniciar el 180. Aterriza en el vientre.,,,,1 Jan 2022,FALSE,10060
Frontroll to Feet,,,,,,SHOULDER,STAND,6,From Shoulder push yourself forward to roll over your back and land on your Feet.,Desde el hombro empújate hacia adelante para caer de pie.,,,10048,1 Jan 2022,TRUE,
Side Roll,,,,,https://youtu.be/7yLCyoHgUS0?t=1400,SOFA,SOFA,5,From Sofa grab the line with one hand in the direction that you're rolling towards and pull on the line to initiate a sidewards roll. Roll over your lower back until you land back in Sofa.,,Grabbing the line with both hands shortly before landing can help to readjust your position a bit.,,,,TRUE,
Reverse Obi-Wan,,Sakalomo,,,https://youtu.be/n_YEN0Yva5I?t=161,ROCKET,STAND,6,"From Rocket swing your legs up (feet first) and put one foot on the line outside of your hands. When you finish the rotation, put the second foot on and land in Exposure. ","Obi Wan, pero sube detrás de la línea.",Bring the foot that does not go to the line straight away far over the line to get your center of gravity right over the line and then put it on the line in the end of the trick.,Lleva el pie que no va a la línea recta muy por encima de la línea para que tu centro de gravedad esté justo sobre la línea y luego ponlo en la línea al final del truco.,,1 Jan 2022,TRUE,
Back Roll to Feet,,Guillaume Fontaine,,2017,https://www.youtube.com/watch?v=Se5XNo0RSP8&t=662,BACK,STAND,6,"Do a Back Roll, then put your back foot on the line first, and press yourself up to put the second foot on.",Haz un giro hacia atrás y ve directamente a los pies.,,,10047,1 Jan 2022,TRUE,
Orbital,,Ian Eisenberg,,2020,https://www.youtube.com/watch?v=t6xPycD-JbY,STAND,KOREAN,5,"Grab the line with your back hand, bring it up around your body by passing it to your other hand, and finally pass your leg over the line to land in Korean.","Agarra la línea con una mano, llévala alrededor de tu cuerpo pasándola a la otra mano y aterriza en coreano.",,,,1 Jan 2022,TRUE,
Hammock Roll to Feet,,Augustin Moinat,,2021,,BACK,STAND,5,"Grab the line with one hand behind your head and the second hand below your back, do a Hammock Roll, and go to Feet.",El rollo de la hamaca va directamente a los pies.,,,,1 Jan 2022,TRUE,
BS 270 Can of Soup,Can of Bisque,Davis Hermes,,2021,https://youtu.be/VP49hErTqM0?t=356,SOUP,EXPOSURE,6,Do a Can of Soup followed by a BS 270 spin landing in Exposure.,Haz una lata de sopa y un 270 al mismo tiempo.,,,10066,1 Jan 2022,FALSE,10066
Exposure Orbital to Sofa,Exporbital,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=2ykEngQRgKo&t=6,EXPOSURE,SOFA,5,Orbital to Sofa but starting in Exposure.,Orbital a Sofá pero comenzando en Exposición.,,,10084,1 Jan 2022,FALSE,10084
Antihero from Feet,Mini-Eisenvader,Ian Eisenberg,,2021,https://youtu.be/7yLCyoHgUS0?t=1437,EXPOSURE,SOFA,7,From Exposure you grab the line with one hand and roll forward. As soon as you are under the line you perform an Antihero landing in Sofa.,Desde la Exposición agarras la línea con una mano y ruedas hacia adelante. En cuanto estés bajo la línea realizas un Antihéroe a Sofá.,,,10039,1 Jan 2022,FALSE,10039
180 to Orbital,,Ian Eisenberg,,2021,https://youtu.be/A8O3iGYGPPk?t=146,STAND,KOREAN,6,Do a 180 spin followed by an Orbital.,Haz un 180 y luego un Orbital.,,,10084,1 Jan 2022,FALSE,10084
Rocket Mount 180,,Ian Eisenberg,,2020,https://youtu.be/dG9sJvKjg6E?t=285,ROCKET,EXPOSURE,6,"Start as you would for the Rocket Mount, and then half way up you push with one hand and pull with the other to initiate a 180 spin, landing in Exposure.",Montaje de cohetes con un 180.,The movement in the end is comparable to the Sofa 360 to Feet.,El movimiento al final es comparable al del Sofá 360 a Pies.,10067,1 Jan 2022,FALSE,10067
Sick Nasty Double Roll,,Ian Eisenberg,,2020,https://youtu.be/qLEnzTtvTcA?t=21,SOFA,SOFA,5,Sick Nasty Roll with an additional Back Sofa Roll in the same bounce.,Rollo asqueroso con un rollo de sofá adicional en el mismo rebote.,,,10068,1 Jan 2022,FALSE,10044
Sofa 360 Double Roll,,Justin Wagers,,2020,https://youtu.be/hsALSrUdryU?t=134,SOFA,SOFA,5,Do a Sofa Roll 360 with an additional Back Sofa Roll in the end.,Realiza un Sofa Roll 360 con un Sofa Roll de espalda adicional al final.,You have to be fast with the regrab.,Hay que ser rápido con el regrab.,10022,1 Jan 2022,FALSE,10022
BS 180 Front Korean Roll to Feet,Fire Flip,Salomé Cholet,,2021,https://youtu.be/HecUpHXRpDw?t=302,KOREAN,STAND,6,Do a Mini-Fireflip to Feet.,Empieza como harías un Flowflip pero rodando de frente (en dirección a tu pecho) y haz un 180 en lugar de un 360.,,,10209,1 Jan 2022,TRUE,
Back Belly Roll to Feet,,,,,https://www.youtube.com/watch?v=7yLCyoHgUS0&t=723,BELLY,EXPOSURE,5,Do a Back Belly Roll to Feet.,Haz un Belly Roll a los pies pero rodando hacia atrás.,,,,1 Jan 2022,FALSE,10056
Flowflip to Feet,,,,,https://www.youtube.com/watch?v=kn15JZJOuAg,KOREAN,EXPOSURE,5,Do a Flowflip to Feet. ,Flowflip pero aterrizando a Pies en la Exposición.,During the flip get your far foot on the line. At the end of the flip get your second foot up on the line; A lot of people do it landing in Exposure.,"Durante el salto, pon el pie más lejano en la línea. Al final de la voltereta, pon el segundo pie en la línea.",10015,1 Jan 2022,TRUE,
Backbounce Richy Roll to Feet,,,,,https://www.youtube.com/watch?v=uuFlRIMmP8M&t=260,BACK,EXPOSURE,5,From Backbounce perform a Richy Roll but land it to Feet.,Desde el Backbounce realiza un Richy Roll pero aterriza directamente en los pies.,,,10226;10227,1 Jan 2022,FALSE,10226
Shoulder Roll to Feet,,,,,https://www.youtube.com/watch?v=7CZuU59KY_c&t=71,SHOULDER,EXPOSURE,5,From Shoulderstand roll to one side and get your feet on the line. Land in Exposure.,Desde la parada de hombros rueda hacia un lado y pon los pies en la línea. Aterriza en la exposición.,,,10051,1 Jan 2022,TRUE,
Panic Roll to Shoulder,,,,,https://youtu.be/uOuqykzwN7w?t=48,SOFA,SHOULDER,5,Do the Panic Roll but instead of landing in Chest you go into Shoulderstand.,Haz el rollo de pánico pero en lugar de aterrizar en el pecho te pones en posición de hombros.,Regrab with one hand to land comfortably in Shoulderstand.,Regrab con una mano para aterrizar cómodamente en Shoulderstand.,10000,1 Jan 2022,FALSE,10000
Yoda Roll,,Samuel Volery,,2016,https://www.youtube.com/watch?v=DgVLWsChXFM,EXPOSURE,EXPOSURE,6,From Exposure grab the line with both hands and roll around the line landing back in Exposure.,Desde la Exposición agarra la línea con ambas manos y rueda alrededor de la línea aterrizando de nuevo en la Exposición.,Try to wait a bit after hitting the bottom of the bounce before you start with the trick. If you start too early you will kill the bounce.,Intenta esperar un poco después de tocar el fondo del rebote antes de empezar con el truco. Si empiezas demasiado pronto matarás el rebote.,10199,1 Jan 2022,TRUE,
Back Yoda Roll,,Samuel Volery,,2017,https://youtu.be/QJzX6gaYQoM?t=34,EXPOSURE,EXPOSURE,6,From Exposure grab the line with both hands and roll around the line backwards landing back in Exposure.,Desde la Exposición agarra la línea con ambas manos y rueda alrededor de la línea hacia atrás aterrizando de nuevo en la Exposición.,Try to wait a bit after hitting the bottom of the bounce before you start with the trick. If you start too early you will kill the bounce.,Intenta esperar un poco después de tocar el fondo del rebote antes de empezar con el truco. Si empiezas demasiado pronto matarás el rebote.,10200,1 Jan 2022,FALSE,10119
Barrel Roll,,,,,https://www.youtube.com/watch?v=dG9sJvKjg6E&t=396,STAND,STAND,6,From your normal stance grab the line with both hands and roll around the line landing back in the starting position.,"Desde su posición normal, agarre la línea con ambas manos y ruede alrededor de la línea aterrizando de nuevo en la posición inicial.",,,10066,1 Jan 2022,TRUE,
Back Barrel Roll,,,,,https://www.youtube.com/watch?v=dG9sJvKjg6E&t=396,STAND,STAND,6,From your normal stance grab the line with both hands and roll around the line backwards landing back in the starting position.,"Desde tu postura normal, agarra la línea con ambas manos y rueda alrededor de la línea hacia atrás aterrizando de nuevo en la posición inicial.",,,10169,1 Jan 2022,FALSE,10122
Reverse Whatever,,Sebastian Egger,,2021,https://youtu.be/Ej2ocABoNC4?t=23482,LEASH,EXPOSURE,7,Drop into the leash and on the way up climb the leash and finish with a Reverse Obi-Wan.,Cae en una caída con correa y luego sube con los pies por detrás de la línea de manera similar a un Obi-Wan inverso.,Amazing leash fall saving trick.,Increíble truco para salvar la caída de la correa.,10074,1 Jan 2022,FALSE,10074
Sick Nasty Roll from Feet,,Ian Eisenberg,,2021,https://youtu.be/aAq4Tf8naOM?t=80,EXPOSURE,SOFA,6,Sick Nasty Roll but starting in Exposure.,Sick Nasty Roll pero comenzando en Exposure.,,,10068,1 Jan 2022,FALSE,10068
Korean 540 to Feet,Flower,Tim Odermatt,,2021,https://youtu.be/aAq4Tf8naOM?t=131,KOREAN,STAND,6,Like a normal Flow to Feet but adding a 180 at the end.,Como un Flow to Feet normal pero añadiendo un 180 al final.,,,10224,1 Jan 2022,FALSE,10284
Double Hammock Roll from Feet,Spaghetti Roll,Augustin Moinat,,2021,,STAND,BACK,6,Do a Hammock Roll from Feet and add an extra Hammock Roll at the end.,Doble rodillo hasta el rebote.,,,10023,1 Jan 2022,FALSE,10004
Double Sofa Roll to Feet,Tamatta Roll,Axel Weber,,2021,https://youtu.be/9Ab1JPDJR-I?t=250,SOFA,EXPOSURE,6,Double Sofa Roll landing in Exposure.,Aterrizaje del sofá doble en la exposición.,,,10199,1 Jan 2022,FALSE,10199
Sick Nasty 360,Tre Nasty,Ian Eisenberg,,2021,https://youtu.be/wHPNMiKrHsQ?t=44,SOFA,SOFA,6,Start with the motion of a Half Nasty 180 but pass your legs over the line once more and keep spinning to do a full 360 landing back in the starting position.,Comienza con el movimiento de un Sick Nasty 180 pero sigue girando y haz un 360 completo aterrizando de nuevo en la posición inicial.,,,10044,1 Jan 2022,TRUE,
Chest Roll 180 Flatspin to Feet,,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=n2z3IyeQSj4&t=16,CHEST,EXPOSURE,6,Do a Chest Roll followed by a 180 Chest Flatspin to Feet.,Haz un Rollo de Pecho y en el mismo rebote un Flatspin de Pecho 180 a Pies.,,,,1 Jan 2022,FALSE,10007
Shapeshifter,,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=QrUyUx8oJUY,EXPOSURE,ROCKET,6,From Exposure do a front flip off the line and catch the line to land in Rocket.,Desde Exposure haz una voltereta frontal fuera de la línea y atrapa la línea para aterrizar en Rocket.,,,,1 Jan 2022,TRUE,
Rocket Mount Side Roll to Sofa,,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=7yLCyoHgUS0&t=1082,ROCKET,SOFA,6,From Rocket Mount do a Side Roll with the axis of rotation perpendicular to the line and land in Sofa.,Desde el montaje del cohete haz un giro lateral con el eje de rotación perpendicular a la línea y aterriza en Sofá.,Flip one of your hands to allow for a better initiation of the momentum.,Voltea una de tus manos para permitir una mejor iniciación del impulso.,,1 Jan 2022,FALSE,10067
